證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2509,全坤建,62293.0,979029.0,15.8,15.8,15.65,15.65,-0.15,166.0
2511,太子,858219.0,10229223.0,11.95,12.0,11.85,11.95,-0.05,373.0
2514,龍邦,48795.0,827041.0,16.95,17.0,16.9,16.9,0.0,40.0
2515,中工,10632646.0,108927152.0,10.35,10.35,10.2,10.2,-0.15,1901.0
2516,新建,126020.0,659195.0,5.25,5.27,5.2,5.2,-0.08,75.0
2520,冠德,607825.0,18101207.0,29.9,29.9,29.65,29.65,-0.25,391.0
2524,京城,12212.0,384875.0,31.6,31.6,31.45,31.45,-0.15,16.0
2527,宏璟,134767.0,3198721.0,23.75,23.9,23.6,23.7,-0.15,83.0
2528,皇普,1620138.0,42836199.0,26.2,26.9,25.75,26.35,0.35,715.0
2530,華建,1534772.0,35347595.0,22.65,23.2,22.65,23.15,0.3,437.0
2534,宏盛,691212.0,15599037.0,22.6,22.65,22.5,22.55,-0.05,372.0
2535,達欣工,1444593.0,47684290.0,32.6,33.2,32.6,33.1,0.5,665.0
2536,宏普,205405.0,5330536.0,26.1,26.1,25.9,25.95,-0.15,109.0
2537,聯上發,1001207.0,7194839.0,7.25,7.25,7.15,7.16,-0.07,406.0
2538,基泰,918044.0,11907068.0,13.05,13.1,12.9,12.9,-0.05,188.0
2539,櫻花建,325332.0,12316379.0,37.9,37.95,37.8,37.8,-0.05,178.0
2540,愛山林,461814.0,35946868.0,78.7,78.7,77.2,77.6,-1.3,199.0
2542,興富發,3136591.0,132394528.0,42.35,42.4,42.05,42.2,-0.3,2106.0
2543,皇昌,103166.0,988598.0,9.63,9.63,9.53,9.53,-0.06,38.0
2545,皇翔,133859.0,6176470.0,46.1,46.25,46.0,46.15,0.05,124.0
2546,根基,108864.0,7405059.0,67.9,68.3,67.7,68.0,0.1,219.0
2547,日勝生,637519.0,5882025.0,9.28,9.28,9.2,9.21,-0.07,350.0
2548,華固,2129838.0,192464552.0,91.5,91.8,90.0,90.2,-1.0,2524.0
2597,潤弘,113583.0,13251042.0,117.0,118.5,116.0,116.5,-1.0,215.0
2601,益航,3391447.0,30630827.0,9.18,9.18,8.96,8.98,-0.17,1234.0
2603,長榮,23853788.0,3628090199.0,150.5,154.0,149.5,152.5,2.5,14721.0
2605,新興,3359880.0,72420705.0,21.95,22.0,21.4,21.4,-0.6,1834.0
2606,裕民,10543692.0,520942427.0,50.1,50.3,49.0,49.05,-1.75,6565.0
2607,榮運,1108955.0,30237514.0,27.3,27.4,27.15,27.25,-0.1,652.0
2608,嘉里大榮,328350.0,12597359.0,38.55,38.65,38.2,38.35,-0.4,233.0
2609,陽明,12320353.0,755192627.0,61.2,61.7,60.8,61.3,0.2,7972.0
2610,華航,109175937.0,2287328607.0,20.85,21.2,20.8,20.85,0.05,23641.0
2611,志信,3071523.0,42897894.0,14.5,14.5,13.75,13.75,-0.75,1563.0
2612,中航,672325.0,26547327.0,39.65,39.85,39.2,39.25,-0.55,380.0
2613,中櫃,678611.0,14752296.0,22.15,22.2,21.5,21.5,-0.6,592.0
2614,東森,1538551.0,29114082.0,19.1,19.1,18.85,18.9,-0.15,1236.0
2615,萬海,5194629.0,306703242.0,58.7,59.6,58.5,58.9,0.2,3597.0
2616,山隆,318617.0,10372953.0,32.7,32.7,32.5,32.55,-0.05,337.0
